SampleID,Fire,Transect,Replicate,Timepoint,Kingdom,BurnCat,Date,Timeframe,otu.H.fun,otu.N1,otu.N2,S.obs,initialchar,OM,P1,HCO3_P,PH,K,NA.,H,CEC,S,CopyNumber,PCA1,PCA2
FSRPL1BT2,Tenaja,L1,B,Nov,Fungi,Burned,19-Nov-19,2.5 Months,4.244936866,69.75135632,27.17455101,258,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,38995.4675,-0.838969291,2.092531878
FSRPL1CT1,Tenaja,L1,C,1st Postfire,Fungi,Burned,5-Nov-19,2 Months,4.205765697,67.07193477,31.31520699,256,69.5,4.4,64.9,30.9,6,114.5,23.8,2.1,13.9,6.7,34573.17265,-0.9028797,2.110805255
FSRPL1CT2,Tenaja,L1,C,Nov,Fungi,Burned,19-Nov-19,2.5 Months,4.622167427,101.7142516,47.99566285,289,69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,32940.75627,-0.9028797,2.110805255
FSRPL1DT1,Tenaja,L1,D,1st Postfire,Fungi,Burned,5-Nov-19,2 Months,4.032770715,56.41701034,15.63828937,258,91,5,83.4,51.9,6.2,430.3,19.7,1.8,15,11.3,47012.41059,-4.760419831,0.652669189
FSRPL1DT2,Tenaja,L1,D,Nov,Fungi,Burned,19-Nov-19,2.5 Months,3.527394019,34.03515697,13.22816991,168,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,34007.54204,-4.760419831,0.652669189
FSRPL1ET1,Tenaja,L1,E,1st Postfire,Fungi,Burned,5-Nov-19,2 Months,4.275800211,71.93768162,39.61121587,263,67,5.3,62.1,38.4,6.3,190.6,36.2,1.8,17.5,9.4,101319.6673,-2.398641485,-0.120484914
FSRPL1ET2,Tenaja,L1,E,Nov,Fungi,Burned,19-Nov-19,2.5 Months,4.14031757,62.82276888,30.94619751,217,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,35305.64128,-2.398641485,-0.120484914
FSRPL1p5AT1,Tenaja,L1.5,A,1st Postfire,Fungi,Unburned,5-Nov-19,2 Months,4.666909918,106.3685466,55.61611989,373,0,5.6,14.6,10,5.5,134.8,24.8,2.7,10.3,8.4,169515.2306,1.282895777,1.432042774
FSRPL1p5AT2,Tenaja,L1.5,A,Nov,Fungi,Unburned,19-Nov-19,2.5 Months,4.84967955,127.6994619,68.73256489,320,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,81042.79735,1.282895777,1.432042774
FSRPL2AT1,Tenaja,L2,A,1st Postfire,Fungi,Unburned,5-Nov-19,2 Months,4.343976592,77.01318125,36.22678813,265,0,5.4,11.9,8.1,6.1,146.6,37.3,2.3,16.5,8.5,139834.5928,0.036321438,-0.134019692
